Country,Year,Rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,ID,Score_log
Paraguay,2016,70,5.538,0.89373,1.11111,0.58295,0.46235,0.25296,0.07396,201670,1.8776313083020189
Romania,2016,71,5.528,1.1697,0.72803,0.67602,0.36712,0.12889,0.00679,201671,1.8761006176618058
Estonia,2016,72,5.517,1.27964,1.05163,0.68098,0.41511,0.08423,0.18519,201672,1.8744141473502434
Jamaica,2016,73,5.51,0.89333,0.96372,0.59469,0.43597,0.22245,0.04294,201673,1.873339456220478
Croatia,2016,74,5.488,1.18649,0.60809,0.70524,0.23907,0.18434,0.04002,201674,1.8699543168131119
Hong Kong,2016,75,5.458,1.5107,0.87021,0.95277,0.48079,0.40097,0.31647,201675,1.8653196723360834
Somalia,2016,76,5.44,0.0,0.33613,0.11466,0.56778,0.27225,0.3118,201676,1.8625285401162623
Kosovo,2016,77,5.401,0.90145,0.66062,0.54,0.14396,0.27992,0.06547,201677,1.8564542281598664
Turkey,2016,78,5.389,1.16492,0.87717,0.64718,0.23889,0.04707,0.12348,201678,1.8545777616202064
Indonesia,2016,79,5.314,0.95104,0.87625,0.49374,0.39237,0.56521,0.00322,201679,1.8427693901358
Jordan,2016,80,5.303,0.99673,0.86216,0.60712,0.36023,0.14262,0.13297,201680,1.841025710530973
Azerbaijan,2016,81,5.291,1.12373,0.76042,0.54504,0.35327,0.0564,0.17914,201681,1.8391200405878927
Philippines,2016,82,5.279,0.81217,0.87877,0.47036,0.54854,0.21674,0.11757,201682,1.8372107321319724
